	categories_list
(Making of) Evangelion: Another Impact	[SciFi, CGAnimation, JapanAnimator'sExhibition, Shorts]
+A-Channel	[Comedy, SliceofLife, BasedonaManga]
.hack//G.U. Returner	[MMORPG, RPG, VirtualReality]
.hack//G.U. Trilogy	[CGAnimation, MMORPG, RPG, VirtualReality]
.hack//G.U. Trilogy Parody	[Comedy, MMORPG, RPG, VirtualReality]
.hack//GIFT	[Chibi, MMORPG, RPG, VirtualReality]
.hack//LIMINALITY	[]
.hack//Legend Of The Twilight	[SciFi, MMORPG, RPG, VirtualReality]
.hack//Quantum	[Action, Mystery, SciFi, MMORPG]
.hack//Quantum Specials	[]
.hack//Roots	[MMORPG, RPG, VirtualReality]
.hack//SIGN	[Adventure, Fantasy, SciFi, Hacking, MMORPG, PersoninaStrangeWorld, RPG, VirtualReality]
.hack//SIGN - Intermezzo	[MMORPG, RPG, VirtualReality]
.hack//SIGN - Unison	[MMORPG, RPG, VirtualReality]
.hack//The Movie: Sekai no Mukou ni	[Action, SciFi, MMORPG]
.hack//Versus: The Thanatos Report	[]
009 Re:Cyborg	[Action, BasedonaManga, CGAnimation]
009-1	[Action, Ecchi, SciFi, Seinen, BasedonaManga, Cyborgs]
009-1 Special	[Action, Ecchi, SciFi, BasedonaManga, Cyborgs]
07-Ghost	[Action, Drama, Fantasy, BasedonaManga, Magic, Military, Supernatural]
1+2=Paradise	[Comedy, Ecchi, BasedonaManga, Gynophobia, Nudity, PantyShots]
1,2,3,4,	[Abstract, Shorts]
10 Nights' Dreams	[Shorts]
10 Tokyo Warriors	[Action, BasedonaNovel, Supernatural]
100 Byou Cinema: Robo to Shoujo (Kari)	[Comedy, SciFi, OriginalWork, Robots]
1001 Nights	[Fantasy, Romance, Abstract, OriginalWork]
11eyes	[Action, Ecchi, Fantasy, Seinen, BasedonanEroge, BasedonaVisualNovel, Superpowers]
11eyes Special	[Comedy, Ecchi, Fantasy, Seinen, BasedonanEroge, BasedonaVisualNovel, Nudity, Superpowers]
12-Sai.: Kiss, Kirai, Suki	[Romance, BasedonaManga, SchoolLife]
20min Walk From Nishi-Ogikubo Station, 2 Bedrooms, Living Room, Dining Room, Kitchen, 2mos Deposit, No Pets Allowed	[Insects, JapanAnimator'sExhibition, Nudity, Shorts]
21 Emon	[SciFi, BasedonaManga, FamilyFriendly]
2112: The Birth of Doraemon	[BasedonaManga, FamilyFriendly]
3 Gatsu no Lion	[SliceofLife, Sports, BasedonaManga, BoardGames, Psychological]
3 x 3 Eyes	[Action, Fantasy, Seinen, BasedonaManga, Demons, ExplicitViolence, Magic]
3 x 3 Eyes - Seima Densetsu	[Action, Fantasy, Seinen, BasedonaManga, Demons, ExplicitViolence, Magic]
3-gatsu no Lion meets Bump of Chicken	[]
30-sai no Hoken Taiiku	[Comedy, Ecchi, Seinen, SexualContent, Supernatural]
3000 Leagues in Search of Mother	[Adventure, BasedonaNovel, Europe, FamilyFriendly, WorldMasterpieceTheater]
30th Gundam Perfect Mission	[Action, Mecha, SciFi, Shorts]
39	[Vocaloid]
3tsu no Kumo	[Abstract, BlackandWhite, Nudity, OriginalWork, Shorts]
40meterP: Do Re Mi Fa Rondo	[Vocaloid]
40meterP: Going My Way	[Vocaloid]
40meterP: Hachigatsu no Kaze	[Vocaloid]
40meterP: Heartbreak Headline	[Vocaloid]
40meterP: Heartbreak Monochrome	[Vocaloid]
40meterP: Junjou Skirt	[Vocaloid]
40meterP: KokoroPalette	[Vocaloid]
40meterP: Kotoba no Uta	[Vocaloid]
40meterP: Laying Down in the Middle of Tokyo	[Vocaloid]
40meterP: Rain and Asphalt	[Vocaloid]
40meterP: Rakugaki Picasso	[Vocaloid]
40meterP: Shiryoku Kensa	[Vocaloid]
40meterP: Shounen to Mahou no Robot	[Vocaloid]
40meterP: Snow Fairy Story	[Vocaloid]
48x61	[]
5 Centimeters per Second	[Drama, Romance, OriginalWork, Trains]
5-tou ni Naritai.	[BasedonaNovel]
663114	[Environmental, OriginalWork, Shorts]
6HP - Six Hearts Princess	[]
6Princess	[Fantasy, MagicalGirl, CGAnimation, Magic, Promotional, Vocaloid]
8 Man	[Action, SciFi, BasedonaManga, BlackandWhite, Cyborgs, Police]
8 Man After	[Action, SciFi, BasedonaManga, Cyborgs, Police, Violence]
80 Days Around the World With Willy Fog	[Adventure, AnimalProtagonists, BasedonaNovel, FamilyFriendly]
801 T.T.S. Airbats	[Aviation, BasedonaManga, LoveTriangle, Military]
A Big First-year Student and a Small Second-year Student	[AnimeMirai, OriginalWork]
A Child's Metaphysics	[OriginalWork, Shorts]
A Gaze in Summer 1.9.4.2	[Shorts]
A Letter to Momo	[Comedy, Fantasy, ComingofAge, FamilyFriendly, JapaneseMythology, OriginalWork]
A Little Princess Sara	[Drama, BasedonaNovel, Europe, WorldMasterpieceTheater]
A Little Snow Fairy Sugar	[Fantasy, Shoujo, FamilyFriendly, Magic, Music, OriginalWork]
A Little Snow Fairy Sugar Summer Specials	[Fantasy, Shoujo, FamilyFriendly, Magic, Music, OriginalWork]
A Piece of Phantasmagoria	[BasedonaManga]
A Portrait of Keiichi Tanaami	[Shorts]
A Silent Voice	[Drama, BasedonaManga, Bullying, SchoolLife]
A Time Slip of 10000 Years: Prime Rose	[Action, Fantasy, SciFi, BasedonaManga, Nudity, TimeTravel]
A Tree of Palme	[Adventure, Fantasy, BasedonaNovel, Robots]
A Wind Named Amnesia	[SciFi, BasedonaLightNovel, Post-apocalyptic]
A crow is white: Himitsu	[]
A crow is white: Many Mary	[Fantasy]
A crow is white: fake!fake!	[Abstract]
A-Channel	[Comedy, Seinen, SliceofLife, BasedonaManga, SchoolLife]
A-Channel + smile	[Comedy, SliceofLife, BasedonaManga]
A.LI.CE	[SciFi, CGAnimation, OriginalWork]
AD Police	[Action, SciFi, Androids, Cyberpunk, Cyborgs, Police, Robots]
AD Police Files	[Action, SciFi, Androids, Cyberpunk, Cyborgs, Episodic, Police, Robots, Violence]
AIKa R-16: Virgin Mission	[Action, Ecchi, SciFi, OriginalWork, PantyShots, Post-apocalyptic, TreasureHunters]
AIKa Zero	[Action, Ecchi, Nudity, OriginalWork, PantyShots]
AIKa Zero Picture Drama	[OriginalWork, PictureDrama]
AKB0048	[SciFi, Idols, Music, OriginalWork]
AKB0048 Next Stage	[SciFi, Idols, Music, OriginalWork]
AWOL: Absent Without Leave	[SciFi, Military, OriginalWork]
Aa Harimanada	[Sports, BasedonaManga, Tournaments]
Abarenbou Rikishi!! Matsutarou	[Comedy, Seinen, Sports, BasedonaManga, HandtoHandCombat]
Abashiri Family	[Action, Comedy, Ecchi, BasedonaManga, HandtoHandCombat, Violence]
Absolute Duo	[Action, Ecchi, Fantasy, Harem, Romance, BasedonaLightNovel, SchoolLife]
Abunai Sisters: Koko & Mika	[Action, Ecchi, CGAnimation, OriginalWork]
Accel World	[Action, SciFi, BasedonaLightNovel, VirtualReality]
Accel World OVA	[Action, SciFi, BasedonaLightNovel, VirtualReality]
Accel World Specials	[Comedy, BasedonaLightNovel, Chibi]
Accel World: Infinite Burst	[Action, SciFi, BasedonaLightNovel, VirtualReality]
Acchi Kocchi	[Comedy, Romance, SliceofLife, BasedonaManga, SchoolLife]
Acchi Kocchi Youchien	[Comedy, BasedonaManga]
Acchi Kocchi: Place=Princess	[BasedonaManga]
Ace Attorney	[Mystery, BasedonaVideoGame]
Ace of the Diamond	[Drama, Sports, Baseball, BasedonaManga]
Ace of the Diamond OVA	[Sports, Baseball, BasedonaManga]
Ace of the Diamond: Second Season	[Sports, Baseball, BasedonaManga]
Ace wo Nerae!	[Shoujo, Sports, BasedonaManga, Tennis]
Ace wo Nerae! 2	[Sports, BasedonaManga, Tennis]
Ace wo Nerae! Final Stage	[Sports, BasedonaManga, Tennis]
Ace wo Nerae! Movie	[Sports, BasedonaManga, Tennis]
Active Raid: Kidou Kyoushuushitsu Dai Hakkei	[Action, SciFi, OriginalWork]
Adachigahara	[BasedonaManga]
Adesugata Mahou no Sannin Musume	[MagicalGirl, Shoujo, Crossover, Magic, OriginalWork]
Adieu Galaxy Express 999	[SciFi, BasedonanAnime, Trains]
Adventure on the Gaboten Island	[Adventure, BlackandWhite, OriginalWork, Survival]
Adventures in Beauty Wonderland	[Promotional, Shorts]
Adventures of Horus: Prince of the Sun	[Fantasy]
Adventures of Kotetsu	[Action, Comedy, Ecchi, BasedonaManga, MartialArts, Swordplay]
Adventures of Mini-Goddess, The	[Comedy, Fantasy, BasedonaManga, Chibi, Magic]
Adventures of the Little Koala	[AnimalProtagonists, FamilyFriendly, OriginalWork]
Aesop's Fables	[FamilyFriendly]
Afro Samurai	[Action, Adventure, BasedonaDoujinshi, DrugUse, ExplicitViolence, Revenge, Samurai, SexualContent]
Afro Samurai Pilot	[]
Afro Samurai Resurrection	[Action, BasedonaDoujinshi, DrugUse, ExplicitViolence, Revenge, Samurai]
Afro Samurai: The Movie	[Action, Adventure, BasedonaDoujinshi, DrugUse, ExplicitViolence, Revenge, Samurai, SexualContent]
Afro-ken	[AnimalProtagonists, FamilyFriendly]
Agatha Christie's Great Detectives Poirot and Marple	[BasedonaNovel, Detectives, Europe]
Agent Aika	[Action, Comedy, Ecchi, SciFi, OriginalWork, PantyShots, Post-apocalyptic]
Agent Aika: Special Trial	[Action, Comedy, Ecchi, SciFi, OriginalWork, PantyShots, Post-apocalyptic]
Agriculture Girls!	[Comedy, Agriculture, BasedonaManga, Chibi, Robots, Shorts]
Agukaru: Agriculture Angel Baraki	[Agriculture, CGAnimation, FlashAnimation, OriginalWork]
Agukaru: Agriculture Angel Baraki - Play with Ibaraki Hen	[Agriculture, CGAnimation, FlashAnimation, OriginalWork]
