	anime	anime_name
0	to-aru-majutsu-no-index-10th-anniversary-pv	To Aru Majutsu no Index 10th Anniversary PV
1	dokkoida	Dokkoida?!
2	inazuma-eleven	Inazuma Eleven
3	brigadoon-marin-to-melan	Brigadoon Marin to Melan
4	brigadoon-marin-to-melan	Brigadoon Marin to Melan
5	aura-battler-dunbine	Aura Battler Dunbine
6	yu-yu-hakusho-the-movie-poltergeist-report	Yu Yu Hakusho The Movie: Poltergeist Report
7	hack-quantum	.hack//Quantum
8	wizardry	Wizardry
9	harukanaru-toki-no-naka-de-hachiyou-shou	Harukanaru Toki no Naka de ~Hachiyou Shou~
10	chouyaku-hyakunin-isshu-uta-koi	Chouyaku Hyakunin Isshu: Uta Koi.
11	saiyuki	Saiyuki
12	saiyuki	Saiyuki
13	towa-no-quon-utakata-no-kaben	Towa no Quon 1: Utakata no Kaben
14	chihayafuru-2	Chihayafuru 2
15	rozen-maiden-zuruckspulen	Rozen Maiden Zurückspulen
16	rozen-maiden-zuruckspulen	Rozen Maiden Zurückspulen
17	stand-by-me-doraemon	Stand by Me Doraemon
18	maetel-legend	Maetel Legend
19	first-squad-the-moment-of-truth	First Squad: The Moment Of Truth
20	first-squad-the-moment-of-truth	First Squad: The Moment Of Truth
21	nana-to-kaoru	Nana to Kaoru
22	iczer-one	Iczer-One
23	shining-tears-x-wind	Shining Tears X Wind
24	seitokai-yakuindomo	Seitokai Yakuindomo
25	seitokai-yakuindomo	Seitokai Yakuindomo
26	seitokai-yakuindomo	Seitokai Yakuindomo
27	acchi-kocchi	Acchi Kocchi
28	acchi-kocchi	Acchi Kocchi
29	acchi-kocchi	Acchi Kocchi
30	howls-moving-castle	Howl's Moving Castle
31	howls-moving-castle	Howl's Moving Castle
32	howls-moving-castle	Howl's Moving Castle
33	howls-moving-castle	Howl's Moving Castle
34	final-fantasy-unlimited	Final Fantasy Unlimited
35	final-fantasy-unlimited	Final Fantasy Unlimited
36	neon-genesis-evangelion-death-and-rebirth	Neon Genesis Evangelion - Death and Rebirth
37	maken-ki-ova	Maken-ki! OVA
38	pokemon-movie-2-the-power-of-one	Pokemon Movie 2: The Power of One
39	ragnarok-the-animation	Ragnarok: The Animation
40	fairy-tail-2	Fairy Tail 2
41	fairy-tail-2	Fairy Tail 2
42	blazing-transfer-student	Blazing Transfer Student
43	sakura-diaries	Sakura Diaries
44	pokemon-diamond-and-pearl	Pokemon: Diamond and Pearl
45	tsukimonogatari	Tsukimonogatari
46	end-of-the-world	End of the World
47	escaflowne	Escaflowne
48	escaflowne	Escaflowne
49	escaflowne	Escaflowne
50	escaflowne	Escaflowne
51	ar-tonelico-sekai-no-owari-de-utai-tsuzukeru-shoujo	Ar Tonelico Sekai no Owari de Utai Tsuzukeru Shoujo
52	zoku-natsume-yuujinchou	Zoku Natsume Yuujinchou
53	zoku-natsume-yuujinchou	Zoku Natsume Yuujinchou
54	rainy-cocoa	Rainy Cocoa
55	amazing-nurse-nanako	Amazing Nurse Nanako
56	nils-no-fushigi-na-tabi	Nils no Fushigi na Tabi
57	dramatical-murder	DRAMAtical Murder
58	dramatical-murder	DRAMAtical Murder
59	dareka-no-manazashi	Dareka no Manazashi
60	ai-shite-night	Ai Shite Night
61	kurozuka	Kurozuka
62	kurozuka	Kurozuka
63	military	Military!
64	zombie-loan	Zombie-Loan
65	zombie-loan	Zombie-Loan
66	neppu-kairiku-bushi-road	Neppu Kairiku Bushi Road
67	selector-spread-wixoss	Selector Spread WIXOSS
68	demon-lord-dante	Demon Lord Dante
69	brynhildr-in-the-darkness-special	Brynhildr in the Darkness Special
70	ga-ra-ku-ta-mr-stain-on-junk-alley	Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley
71	mobile-suit-zeta-gundam-heir-to-the-stars	Mobile Suit Zeta Gundam: A New Translation -Heirs to the Stars-
72	negima-natsu-special	Negima!? Natsu Special!?
73	pugyuru	Pugyuru
74	dna	DNA²
75	naruto-special-2-battle-at-hidden-falls-i-am-the-hero	Naruto Special 2: Battle at Hidden Falls. I am the Hero!
76	hanayamata	Hanayamata
77	honey-x-honey-drops	Honey x Honey Drops
78	le-chevalier-d-eon	Le Chevalier D'Eon
79	le-chevalier-d-eon	Le Chevalier D'Eon
80	mamoru-kun-ni-megami-no-shukufuku-wo	Mamoru-kun ni Megami no Shukufuku wo!
81	miracle-train-ooedo-sen-e-youkoso	Miracle Train ~Ooedo-sen e Youkoso~
82	devil-may-cry	Devil May Cry
83	devil-may-cry	Devil May Cry
84	devil-may-cry	Devil May Cry
